C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2020,01,1,11,2,02,32,01,1,5,4,18,01,01,2015,01,M,56,QQ,1,02,U,000000002786281
2020,01,1,11,2,02,32,01,1,5,4,18,01,01,2015,UU,U,UU,UU,U,UU,U,000000002786281
2020,01,1,11,2,02,32,01,1,5,4,18,02,01,2010,01,F,30,11,2,02,1,000000002786281
2020,01,1,11,2,02,32,01,1,5,4,18,02,01,2010,02,U,01,QQ,N,NN,U,000000002786281
2020,01,1,16,2,02,32,01,2,5,3,18,01,01,2007,01,F,27,11,2,02,1,000000002786282
2020,01,1,16,2,02,32,01,2,5,3,18,01,01,2007,02,F,05,33,1,02,2,000000002786282
2020,01,1,16,2,02,32,01,2,5,3,18,02,01,2009,01,M,18,11,2,02,1,000000002786282
2020,01,1,20,2,01,04,01,2,2,1,12,01,01,2011,01,M,38,11,2,02,1,000000002786286
2020,01,1,20,2,01,04,01,2,2,1,12,99,NN,NNNN,UU,U,UU,UU,U,NN,3,000000002786286
2020,01,1,20,2,01,04,01,2,2,1,12,99,NN,NNNN,UU,U,UU,UU,U,NN,3,000000002786286
2020,01,1,21,2,02,02,01,1,2,1,12,01,01,2007,01,M,23,11,1,02,1,000000002786299
2020,01,1,21,2,02,02,01,1,2,1,12,01,01,2007,02,F,23,13,1,02,2,000000002786299
2020,01,1,21,2,02,02,01,1,2,1,12,02,01,2010,03,F,49,11,2,02,1,000000002786299
2020,01,1,16,2,02,33,02,2,2,1,01,01,01,2006,01,M,64,11,2,02,1,000000002786305
2020,01,1,16,2,02,33,02,2,2,1,01,01,01,2006,02,F,61,QQ,N,NN,U,000000002786305
2020,01,1,16,2,02,33,02,2,2,1,01,02,01,2011,01,F,75,QQ,2,02,U,000000002786305
2020,01,1,16,2,02,33,02,2,2,1,01,02,01,2011,UU,U,UU,UU,U,UU,U,000000002786305
2020,01,1,16,2,02,33,02,2,2,1,01,99,NN,NNNN,UU,U,UU,UU,U,NN,3,000000002786305
2020,01,1,16,2,02,33,02,2,2,1,01,99,NN,NNNN,UU,U,UU,UU,U,NN,3,000000002786305
2020,01,1,12,2,01,05,01,1,5,1,18,01,01,2010,01,F,69,QQ,2,02,U,000000002786340
2020,01,1,12,2,01,05,01,1,5,1,18,01,01,2010,UU,U,UU,UU,U,UU,U,000000002786340
2020,01,1,14,2,01,02,UU,7,5,U,18,01,01,2011,01,F,39,11,2,02,1,000000002786357
2020,01,1,22,2,02,02,01,1,1,1,UU,01,07,2014,01,M,37,11,2,UU,1,000000002786359
2020,01,1,22,2,02,02,01,1,1,1,UU,02,NN,UUUU,UU,U,UU,UU,U,UU,U,000000002786359
2020,01,1,17,2,01,04,07,4,4,1,UU,01,01,2013,01,F,27,QQ,2,02,U,000000002786406
2020,01,1,17,2,01,04,07,4,4,1,UU,01,01,2013,UU,U,UU,UU,U,UU,U,000000002786406
2020,01,1,09,2,01,04,01,1,1,1,UU,01,01,2012,01,F,66,QQ,2,02,U,000000002786415
2020,01,1,09,2,01,04,01,1,1,1,UU,01,01,2012,UU,U,UU,UU,U,UU,U,000000002786415
2020,01,1,09,2,01,04,01,1,1,1,UU,99,NN,NNNN,UU,U,UU,UU,U,NN,3,000000002786415
2020,01,1,09,2,01,04,01,1,1,1,UU,99,NN,NNNN,UU,U,UU,UU,U,NN,3,000000002786415
2020,01,1,21,2,01,02,01,1,4,2,18,01,01,2002,01,F,44,QQ,1,02,U,000000002786463
2020,01,1,21,2,01,02,01,1,4,2,18,01,01,2002,UU,U,UU,UU,U,UU,U,000000002786463
2020,01,1,21,2,01,02,01,1,4,2,18,99,NN,NNNN,01,F,65,99,2,NN,3,000000002786463
2020,01,1,13,2,01,04,01,1,2,1,18,01,01,2010,01,F,36,11,2,02,1,000000002786595
2020,01,1,13,2,01,04,01,1,2,1,18,01,01,2010,02,M,35,13,2,02,2,000000002786595
2020,01,1,14,2,02,04,UU,2,4,1,18,01,01,2011,01,M,19,QQ,2,NN,U,000000002786660
2020,01,1,14,2,02,04,UU,2,4,1,18,01,01,2011,UU,U,UU,UU,U,UU,U,000000002786660
2020,01,1,14,2,02,04,UU,2,4,1,18,02,01,UUUU,UU,U,UU,UU,U,UU,U,000000002786660
2020,01,1,14,2,02,04,UU,2,4,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,000000002786660
2020,01,1,14,2,02,04,UU,2,4,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,000000002786660
2020,01,1,10,2,02,33,03,2,2,1,18,01,01,2014,01,F,56,11,2,02,1,000000002786781
2020,01,1,10,2,02,33,03,2,2,1,18,01,01,2014,02,F,01,21,2,02,2,000000002786781
2020,01,1,10,2,02,33,03,2,2,1,18,01,01,2014,03,F,01,13,1,02,2,000000002786781
2020,01,1,10,2,02,33,03,2,2,1,18,01,01,2014,04,M,01,QQ,N,NN,U,000000002786781
2020,01,1,10,2,02,33,03,2,2,1,18,02,01,2006,01,M,72,QQ,1,02,U,000000002786781
2020,01,1,10,2,02,33,03,2,2,1,18,02,01,2006,UU,U,UU,UU,U,UU,U,000000002786781
2020,01,1,18,2,03,33,02,2,2,1,01,01,01,2012,01,M,20,11,2,02,1,000000002786783
2020,01,1,18,2,03,33,02,2,2,1,01,01,01,2012,02,F,01,13,2,02,2,000000002786783
2020,01,1,18,2,03,33,02,2,2,1,01,01,01,2012,03,M,53,QQ,N,NN,U,000000002786783
2020,01,1,18,2,03,33,02,2,2,1,01,02,01,2007,01,M,48,QQ,2,02,U,000000002786783
2020,01,1,18,2,03,33,02,2,2,1,01,02,01,2007,02,F,44,13,2,02,2,000000002786783
2020,01,1,18,2,03,33,02,2,2,1,01,02,01,2007,UU,U,UU,UU,U,UU,U,000000002786783
2020,01,1,18,2,03,33,02,2,2,1,01,03,05,2008,01,M,66,11,1,02,1,000000002786783
2020,01,1,18,2,03,33,02,2,2,1,01,03,05,2008,02,F,64,QQ,N,NN,U,000000002786783
2020,01,1,14,2,01,03,07,1,2,U,18,01,01,2011,01,F,35,11,2,NN,1,000000002786801
2020,01,1,14,2,01,03,07,1,2,U,18,01,01,2011,02,M,09,21,2,NN,2,000000002786801
2020,01,1,14,2,01,03,07,1,2,U,18,01,01,2011,03,M,08,23,2,NN,2,000000002786801
2020,01,1,14,2,01,03,07,1,2,U,18,01,01,2011,04,M,38,QQ,U,UU,U,000000002786801
2020,01,1,17,2,02,32,01,4,3,1,18,01,01,2003,01,F,66,11,2,02,1,000000002788020
2020,01,1,17,2,02,32,01,4,3,1,18,02,01,2002,01,F,21,11,2,02,1,000000002788020
2020,01,1,16,2,01,02,02,U,3,Q,18,01,16,2003,01,M,29,11,2,UU,U,000000002788505
2020,01,1,18,2,02,24,01,1,3,1,18,01,01,2015,01,M,42,11,1,UU,1,000000002788518
2020,01,1,18,2,02,24,01,1,3,1,18,02,01,2018,02,M,23,11,2,02,1,000000002788518
2020,01,1,10,2,02,21,01,4,2,1,18,01,01,2011,01,M,63,11,1,02,1,000000002788584
2020,01,1,10,2,02,21,01,4,2,1,18,02,01,2018,02,F,70,11,2,02,1,000000002788584
2020,01,1,10,2,02,21,01,4,2,1,18,02,01,2018,03,M,66,13,1,02,2,000000002788584
